Non Reportable

 IN THE SUPREME COURT OF INDIA
CRIMINAL APPELLATE JURISDICTION

CRIMINAL APPEAL Nos. 407- 408 of 2009

Mohd. Akhtar @ Kari & Ors.                  .... Appellants

                                    Versus  .... Respondents
State of Bihar & Anr.

J U D G M E N T	PREAMBLE

 L. NAGESWARA RAO, J.	NONE

 1. In these Appeals, we are concerned with the correctness of the judgment of the High Court of Judicature at Patna by which the judgment of the trial court was set aside and the acquittal of the Appellants was reversed.	FAC
The High Court convicted the Appellants under Section 302 read with Sections 34 and 148 of the Indian Penal Code, 1860 ("the IPC") and sentenced them to undergo life imprisonment.	RLC
2. We are informed that the Appellant Nos. 1, 2 and 4 died during the pendency of these Appeals and so, the Appeals filed by them abate.	FAC
On the statement of the informant  Md. Abu Daud (PW-6), the fardbeyan was recorded by the Officer Incharge of Matihani Police Station at 9.00 p.m. on 05.01.1984.	FAC
He stated that along with his brother Md. Nadir Sah @ Jumma (deceased), he had gone to the house of  Md. Mobin (PW-4) for collecting irrigation dues.	FAC
They were basking by the ghura (fire place) at Md. Mobin's darwaza.	FAC
A mob of 10-11 persons armed with pistols, rifles and gun came there at that time.	FAC
The informant identified seven out of eleven persons.	FAC
Md. Chamru @ Sahadat was armed with gun, Noor Alam with rifle, Md. Jam Alam (Appellant No.4) with gun and Md. Kari @ Akhtar (Appellant No.1), Md. Samad and	FAC
         Md. Sanjat (Appellant No.3) also had fire arms.	FAC
Immediately after the mob reached, the accused Md. Chamru@ Sahadat warned that nobody should try to escape and then Md.
 Sanjat (Appellant No.3) fired one shot which did not hit anybody.	FAC
  The informant, Md. Nadir Sah @ Jumma (deceased) and  Md. Mobin (PW-4) started running and all the accused chased them.	FAC
The informant hid himself by the side of a Simal tree from where he saw his brother Md. Nadir Sah @ Jumma (deceased) being surrounded by the accused near the southern wall of the house of one Samshul.	FAC
    After being surrounded, the deceased Md. Nadir Sah @Jumma was shot dead by Md. Chamru @ Sahadat, Md. Jan Alam and Noor Alam.	FAC
The accused fled towards the village and soon after the informant and Md. Mobin rushed to where the deceased was lying and found that he was hit by the bullets.	FAC
They started shouting for help.	FAC
Md. Adil, Md.
 Ataul Rehman and several others came.	FAC
They were informed about the incident by the informant.	FAC
3. On completion of the investigation, a charge sheet was filed under Sections 148 and 302 read with Section 149 IPC against seven persons out of whom one of the accused Md. Samad died and Md. Chamru @ Sahadat and Noor Alam absconded.	FAC
 The remaining accused i.e. the Appellants- herein faced trial for the charges framed under Sections 148 and 302 read with Section 149 IPC.	FAC
According to PW-9 Bishram Das, who was the investigating officer, the information was received at 7.45 p.m. on 05.01.1984 that  2-3 shots were hurled and one person killed in Saidpur village	FAC
. After recording S.D. Entry No.65, he proceeded to the Saidpur village along with other policemen.	FAC
After reaching the place of the incident, he recorded               the statement of Md. Abu Daud and prepared an inquest report.	FAC
He also seized the blood soaked soil, ash of ghura and  a lantern.	FAC
4. Post-mortem examination of deceased Jumma was conducted by PW-5 at 8.00 a.m. on 06.01.1984 who found the following injuries on the person of the deceased Md. Nadir Sah @ Jumma : "(i) Deep wound with irregular burnt margin, size x 2" x 2" over the right cheek with surrounding areas with black stained with comminuted fracture on the right side mandible and maxilla and there was laceration of the surrounding tissues of the tongue.	FAC
Multiple pillets and cork were recovered which were preserved and sealed.	FAC

 (ii) Penetrating wound " diameter with burnt and inverted margin over the right coastal cartilage middle of the right nipple caused fracture of the cartilage.	FAC
On further deep dissection the right lunge was found penetrated.	FAC
There was also blood in the left side of chest cavity.	FAC
There was also penetration of lower lobe of the left lung.	FAC

There was hole in the heart.	FAC
There was fracture of the ninth rib.	FAC
There was wound on the back size 1" in diameter with inverted margine."	FAC

5. Hemorrhage due to the above injuries was the cause of death according to PW-5 and the death had occurred 24 hours prior to the post-mortem examination.	FAC
Out of the 11 witnesses who were examined by the Prosecution, PWs-3,4 and 6 were the eye witnesses.	FAC
PW-3 deposed that he heard the sound of firing near the house of Samshul when he was returning from Ghasarpur Tola and saw seven accused who were chasing the deceased Md. Nadir Sah @ Jumma, Md. Abu Daud (PW-6) and Md. Mobin (PW-4).	FAC

Accused- Md. Jam Alam, Md. Sahadat and Noor Alam	FAC
had fired at the deceased near the house of Samshul.	FAC
He stated that he identified the accused by flashing his torch light.	FAC
According to him, the police arrived at the place of the incident at 9.00 p.m.	FAC
He testified that he did not tell anybody about the incident till the police reached there.	FAC
PW-4 stated in his evidence that he arranged a ghura (fireplace) with leaves at 6.00 p.m. on 05.01.1984.	FAC
Md. Abu Daud (PW-6) and Md. Nadir Sah @ Jumma (deceased) who came to demand the remaining irrigation dues from him also sat near the ghura.	FAC
At that time a mob of 11 persons suddenly came there.	FAC
He could identify seven out of eleven persons in mob in the light of ghura and of lantern which was hanging in the oriyani (veranda).	FAC
He further deposed that he, the deceased, and PW-6 started running away from the mob.	FAC
The deceased was surrounded by the accused near the southern wall of Samshul's house.	FAC
He was shot dead by the accused Sahadat, Md. Jam Alam and Noor Alam.	FAC
He stated that Md. Jam Alam and Sahadat had guns, Noor Alam had a rifle and rest of the accused had lathis.	FAC
PW-6 who is the informant deposed that there was sufficient light cast because of the ghura (fire place), the lantern and the torch which he was carrying.	FAC

He witnessed the incident from behind the Simal tree which was 15 yards from the place of occurrence.	FAC
6. The oral testimonies of PWs- 3,4 and 6 were examined thoroughly and the trial court was of the opinion that it is not safe to rely on their statements.	RLC
The trial court held that the evidence relating to identification of the accused in the available light was not convincing.	RLC
There is reference to the evidence regarding the lantern in the varanda which was behind the place where the mob was standing and the improbability of their being identified in the light emitted by the lantern.	RLC
The evidence of PW-6 that he flashed a torch light for identifying the accused persons was disbelieved as no torch was seized by the police.	RLC

For the aforesaid reasons, the trial court was of the opinion that the eye witnesses could not have identified the accused.	RLC
Previous enmity between the accused on one hand and the informant's family on the other was proved.	RLC
The trial court further found that there was a delay in lodging the FIR which provided an opportunity to the informant and other PWs to implicate their enemies.	RLC
Thus, false implication could not be ruled out.	RLC

Further, the fardbeyan was recorded in the village at 9.00 p.m. on 05.01.1984.	RLC
A dead body challan which was prepared by J.N. Singh, Sub-Inspector of Police (S.I.) which shows that the body was sent for post- mortem at 11.00 p.m.	RLC
There was also an entry in the station diary that J.N. Singh (S.I.) returned to the police station at 9.00 p.m.	RLC
If the fardbeyan was prepared at 9.00 p.m. at the place of incident which is six kilometers away from the police station, J.N. Singh (S.I.) could not have arrived at the police station at 9.00 p.m.	RLC
The record shows that he prepared the inquest report at 10.00 p.m. and the dead body challan at 11.00 p.m. at the place of occurrence.	RLC
J.N. Singh (S.I.) who is an important witness was not examined by the prosecution.	RLC
Referring to the above circumstances, the trial court held that it was clear that the inquest report and the dead body challan were prepared later at the police station.	RLC
An adverse inference was drawn against the Prosecution.	RLC
The trial court also took note of the presence of the Mangal Tanti, the Chowkidar of the village, who reached the place of the incident in 30 minutes after the incident took place.	RLC
He was not examined as a witness.	RLC
None of the witnesses deposed that they informed the Chowkidar about the incident.	RLC

No independent witness was examined though the village was hardly 200 metres from the place of the incident.	RLC
No pellet or traces of bullets were recovered from the place of the incident.	RLC
On the basis of the above findings along with other contradictions in the evidence of the witnesses, the trial court acquitted the Appellants of all the charges against them.	RLC
7. The Appeals filed by the State and the revision filed by the complainant, were taken altogether.	FAC
The High Court appreciated the evidence and found fault with the judgment of the trial court.	RLC
The High Court felt that apart from minor inconsistencies, the evidence of the eye witnesses was reliable and there was sufficient light to identify the accused.	RLC
 The accused shared a common intention of killing the deceased according to the High Court.	RLC
The delay in registering the FIR was found to be not fatal to the case of the Prosecution.	RLC
The evidence of interested witnesses was also held reliable by the High Court.	RLC
The minor errors          in recording the time in the police station and the non-examination of J.N. Singh (S.I.) did not prejudice the prosecution's case.	RLC
By differing with the view taken by the trial court on the above points, the High Court found that the judgment of the trial court is perverse and that there is only one view possible which leads to the guilt of the accused.	RLC
On the aforesaid findings, the High Court convicted the Appellants under Section 302 read with Sections 34 and 148 IPC and sentenced them to life imprisonment.	RLC
8. The question that falls for determination in this case is whether the High Court was right in setting aside the acquittal of the Appellants and convicting them for an offence of murder.	ISSUE
While holding that there is no limitation placed on the power to review the evidence in an appeal against acquittal, Lord Russell in Sheo Swarup v. King-Emperor1 held: "9. .. .. the High Court should and will always give proper weight and consideration to such matters as (1) the views of the trial Judge as to the credibility of the witnesses; (2) the presumption of innocence in favour of the accused, a presumption certainly not weakened by the fact that he has been acquitted at his trial; (3) the right of the accused to the benefit of any doubt; and (4) the slowness of an appellate Court in disturbing a finding of fact arrived at by a 1 (1934) 36 BOM LR 1185 9 Judge who had the advantage of seeing the witnesses."	ANALYSIS

 9. The approach of the High Court in an appeal against acquittals was explained by this Court in Surajpal Singh & Ors. v. The State2 as follows: "	ANALYSIS
It is well-established that in an appeal under section 417 of the Criminal Procedure Code, the High Court has full power to review the evidence upon which the order of acquittal was founded, but it is equally well- settled that the presumption of innocence of the accused is further reinforced by his acquittal by the trial court, and the findings of the trial court which had the advantage of seeing the witnesses and hearing their evidence can be reversed only for very substantial and compelling reasons."	ANALYSIS
10. This Court in Muralidhar @ Gidda & Anr. v.
