$~4*      IN THE HIGH COURT OF DELHI AT NEW DELHI+                 CRL A 1308/2015 & CRL M (B) 8293/2015       X                                                     ..... Appellant                         Through:       Mr. Harsh Prabhakar, Advocate                                        (DHCLSC) with Mr. Salman Hashmi                                        and Mr. Anirudh Tanwar, Advocates.                               versus       STATE OF NCT OF DELHI                              ..... Respondent                     Through:           Ms. Kusum Dhalla, APP along with                                        Inspector Prashant Yadav, PS Jagat                                        Puri       CORAM:       JUSTICE S. MURALIDHAR       JUSTICE I.S. MEHTA                               JUDGMENT%                               20.11.2017	PREAMBLE
Dr. S. Muralidhar, J.: Introduction 1.	NONE
This appeal is directed against the impugned judgment dated 10th August 2015 passed by the learned Additional Sessions Judge („ASJ‟), Karkardooma Courts in Sessions Case No.89/11 convicting the Appellant for the offence under Section 302 Indian Penal Code („IPC‟) for committing the murder of his wife and the order on sentence dated 17th August 2015 whereby he was sentenced to undergo imprisonment for life along with a fine of Rs.10,000/- and in default of payment of fine, to undergo further rigorous imprisonment for one year.	RLC
2. This Court has in the judgment that follows, accepted the Appellant's plea of defence of insanity under Section 84 IPC and acquitted him of the offence with which he was charged.	RPC
The Court, therefore, considers appropriate to anonymise the name of the Appellant with 'X' and also refrain from mentioning the names of his family members.	FAC
The case of the Prosecution 3.	FAC
The case of the prosecution is that on 22nd June 2011, at around 8.55 am, telephonic information was received from the East District Control Room under DD No.9-A regarding the death of a lady near Bharat National School.	FAC
The DD was marked to Sub-Inspector („SI‟) Dinesh (PW-15), who proceeded to the spot along with Constable Kunwar Pal (PW-19).	FAC
Inspector O.P. Jhakar (PW-23) who was the Investigating Officer (IO) also reached the spot.	FAC
A PCR van was already present when they reached there.	FAC
There, the Appellant's elder brother (PW-1) met the IO at the spot.	FAC
With the help of PW-1, the door of the house, which was on the first floor, was opened.	FAC
There they found the body of the deceased, the wife of the Appellant, lying in a pool of blood.	FAC
A blood-stained tawa was found lying in the kitchen.	FAC
One blood stained knife was lying on the bed and one knife was lying in the kitchen.	FAC
There was blood spattered in the room and the lobby.	FAC
4. The Appellant was also present in the room in an injured condition.	FAC
He was rushed to the nearby hospital in the PCR van.	FAC
The statement of PW-1 was recorded.	FAC
In it he stated that the Appellant, his younger brother, lived in a separate portion of the house on the first and the second floors.	FAC
The deceased used to do stitching work on the ground floor and was helped by her son (PW-2).	FAC
PW-1 stated that the Appellant had not been doing any work for the last 15 years.	FAC
The Appellant suspected that the deceased was having an illicit relationship in connection with her work.	FAC
As a result, there used to be frequent quarrels between the Appellant and the deceased.	FAC
Evidence at the trial 5.	FAC
PW-1, in his statement to the police, stated that on the intervening night of 21st/22nd June 2011, the Appellant and the deceased were alone in the house.	FAC
At around 3 am, PW-1 awoke upon hearing the noise of a quarrel between the Appellant and his wife.	FAC
According to PW-1, the Appellant was abusing his wife.	FAC
When PW-1 knocked on the door of the room of his brother and called out to him, he received no reply.	FAC
The noise of quarrel also subsided.	FAC
PW-1 noticed that the door of the house had been bolted from inside.	FAC
He returned to his quarters thinking that it was a routine affair.	FAC
 6. The next morning, at around 8-8.30 am, PW-1 went to the Appellant's house to enquire about the cause of the quarrel of the previous night.	FAC
When he called out the Appellant by name, the Appellant came out onto the first floor balcony.	FAC
PW-1 noticed that the Appellant's clothes were soaked in blood.	FAC
When PW-1 inquired about his sister-in-law, the Appellant replied that he had killed her in the night and that she was lying inside.	FAC
PW-1 asked the Appellant to open the door.	FAC
When he did, PW-1 went inside and found the deceased lying in a pool of blood.	FAC
There was blood spattered all over the house.	FAC
PW-1 immediately bolted the door from the outside and called the police from his mobile phone.	FAC
On the statement of PW-1, FIR No. 297/11 was registered at PS Jagat Puri.	FAC
 7. Twenty-four prosecution witnesses were examined.	FAC
In his statement under Section 313 Code of Criminal Procedure („Cr.PC‟), the Appellant stated that it was a false case; that he had a property dispute with PW-1 who tried to raise a wall in the house; and that he had got him falsely implicated in the case.	FAC
 8. The Appellant filed a written statement under Section 313 (5) Cr PC in which in paragraphs 6, 7 and 8, he stated as under: “6. That the accused had been suffering mental disease for last 15 years and still under treatment for the same, even in the judicial custody.	ARG_PETITIONER
The accused above named has been suffering insanity.	ARG_PETITIONER
7. That it is also worth noticing that PW-03 [name withheld] was with the accused as an attendant of the accused when the accused was taking his treatment for mental disease and was administered electric shocks/E-Sitting for 15 days by Dr.        Dipender Roy, Senior Psychiatric from the Ram Manohar Lohia Hospital and PW-03 is very much aware about the disease of the applicant / accused.	FAC
8. That the accused has been falsely implicated in the present case even though the police officials have been very much aware that accused in an innocent person.”	FAC
9. Thereafter, three defence witnesses were examined.	FAC
DW-1, the younger brother of the Appellant inter alia stated that the accused was “a patient of depression since childhood but he has been working regularly.”	FAC
He spoke about the property dispute between PW-1 and the Appellant.	FAC
DW-2, an elder sister of the Appellant too stated that, “the accused is a patient of depression”.	FAC
She also adverted to the fact that PW-1 wanted to grab the ancestral property.	FAC
DW-3, another elder brother of the Appellant stated again that, “the accused is a patient of depression.”	FAC
He too spoke of the property dispute between PW-1 and the Appellant.	FAC
 Impugned judgment of the trial Court 10.	RLC
The learned trial Court, by the impugned judgment dated 10th August 2015, found the Appellant guilty of the offence under Section 302 IPC.	RLC
This being the case of circumstantial evidence, the trial Court outlined three circumstances relied upon by the prosecution to bring home the guilt of the accused as under: (i) Motive for murder – accused suspected the character of his wife; (ii) Extra-judicial confession made by the accused.	RLC
       (iii) Death within the four corners of the house and failure of accused to render any satisfactory explanation.	RLC
11. The learned trial Court adverted to the complaint (Ex.PW-2/A) made by the deceased to the police on 19th May 2011, around one month prior to the incident, in which she stated that she apprehended danger to her life from her husband and nephew.	FAC
She withdrew this complaint on 13 th June 2011 after arriving at a compromise with the Appellant (Ex.PW2/B).	FAC
The learned trial Court observed that from the testimonies of DW1, DW-2 and DW-3, it was evident that the Appellant was of a quarrelsome nature and he suspected the character of the deceased.	RLC
The trial Court consequently concluded that the prosecution had been able to prove the motive for the commission of the offence beyond doubt.	RLC
12. As regards the second circumstance concerning the extra-judicial confession made by the Appellant, the trial Court referred to the deposition of PW-1 and noticed that he had not been cross-examined with regard to the extra-judicial confession made by the Appellant before him.	RLC
The trial Court further observed that from the evidence of DW-1 and DW-2 it appeared that there was no pending litigation between the Appellant and PW-1 regarding the property.	RLC
The said circumstance of the extra-judicial confession made by the Appellant to PW-1 was, therefore, held to be proved.	RLC
 13. As regards the third circumstance of the death having occurred within the four corners of the room in which the Appellant resided with the deceased, the trial Court observed that although, in his cross-examination, PW-1 accepted that he could not have possibly heard the quarrel between the Appellant and his wife at 3 am and therefore, to that extent, a doubt was created, it did not follow that the entire testimony of PW-1 in all other aspects should be discarded.	RLC
The trial Court held that the rest of the testimony of PW-1 was trustworthy.	RLC
Invoking Section 106 of the Indian Evidence Act, 1862 („IEA‟), it was held that the Appellant failed to discharge his burden of giving a cogent explanation as to how the crime was committed since it took place inside his house.	RLC
 14. The trial Court then turned to the defence of the Appellant that he was of unsound mind at the time of commission of offence and, therefore, entitled to acquittal in terms of Section 84 IPC.	RLC
The trial Court referred to the admission by PW-1 in his cross-examination that the Appellant had been receiving treatment for his mental ailments from RML Hospital and the Institute of Human Behaviour and Allied Sciences (IHBAS) as also to the fact that in Ex.PW2/A, the deceased had herself adverted to that aspect.	RLC
She had stated therein that the Appellant was under treatment at IHBAS for the last five months.	RLC
However, the Trial Court rejected this plea by observing that the mere fact that the Appellant had been occasionally subject to insane delusions was “per se insufficient to bring his case within the exemption.”	RLC
It was held that the Appellant did not produce any medical record of his treatment which may prove that he was suffering from any major mental ailment due to which he was unable to know the implications of his act.	RLC
In his statement under Section 313 (5) Cr PC, the Appellant had not stated that he was suffering from any kind of serious mental ailment.	RLC
Further, DW-1 and DW-2 had merely stated that the accused was a patient of depression.	RLC
Despite this, he had been doing construction work like flooring and interior furnishing.	RLC
For these reasons, it was held that the Appellant could not take advantage of Section 84 IPC.	RLC
Thereafter, by a separate order dated 17th August 2015, the trial Court sentenced the Appellant as noticed hereinbefore.	RLC
 15. This Court has heard the submissions of Mr. Harsh Prabhakar, learned counsel appearing for the Appellant, having been nominated by the Delhi High Court Legal Services Committee and Ms. Kusum Dhalla, learned APP for the State. Orders	ANALYSIS
passed by this Court 16	ANALYSIS
. At the time of admission of this appeal on 7th December 2015, this Court had directed the jail authorities to furnish a copy of the record of the treatment of the Appellant, if any, at IBHAS.	ANALYSIS
17.   	ANALYSIS
When        the   Appellant   was   produced   before    the   Court     on 4th February 2016, the Superintendent Central Jail No.3 forwarded the medical status report of the Appellant which reads as under: “This is submitted for your kind information that the above said inmate patient (is) suffering from bipolar affective disorder and he has been under regular follow-up from jail S/R Psychiatrist.	ANALYSIS
At present he complains (about) decreased sleep, low mood and anxiety.	ANALYSIS
All the prescribed medicines are given to him under supervision daily and he is maintaining well on medication.	ANALYSIS
At present his general condition is stable and vitals are stable.	ANALYSIS
” 18. The Court in its order dated 4th February 2016 observed that it expected “a more comprehensive report” and called for it from IHBAS.	ANALYSIS
On 28th April 2016, the counsel for the State filed in the Court a whole bunch of papers which included the papers of the treatment received by the Appellant in October and November, 2010 at IHBAS and the OPD Registration Card of RML Hospital, New Delhi containing the details of the consultations the Appellant with a psychiatrist there way back on 11th August 2007.	ANALYSIS
There was also a discharge summary issued by IHBAS on 1st December 2010.	ANALYSIS
 19. On 8th December 2016, an order was passed by this Court suspending the sentence of the Appellant for one month from the date of his release.	RPC
The Court noted in the said order that the nominal roll dated 19th November 2016 showed that the Appellant had up to that date been in continuous incarceration of 4 years, 4 months and 4 days.	RPC
The Court also noted that the State had placed on record the copy of the letter dated 20 th November 2016 from Dr. RML Hospital stating that the record which was directed to be produced by the earlier order dated 20th September 2016 was not traceable and further that the record of the patients were maintained only for 3 years.	RPC
The DDU Hospital informed the Court by a letter dated 29th November 2016 that only an OPD slip of the person admitted to that hospital was available.	RPC
The Court then directed that it would be in the interest of justice if an effective assessment of the available record were to be undertaken by a competent expert and an opinion obtained as to the mental status of the Appellant as on 22nd June 2011 i.e. when the offence was committed.	RPC
The Registry was asked to forward the complete medical record to the Medical Superintendent, IHBAS for either examination by himself or by a competent expert.	RPC
The report was asked to be submitted within 8 weeks.	RPC
 20. By its communication dated 23rd December 2016, IHBAS informed the Court that it would like to conduct an assessment of the patient‟s mental status.	FAC
The jail authorities were directed to produce the Appellant in the Psychiatry OPD at IHBAS to enable the latter to give an opinion in terms of the Court order dated 8th December 2016.	FAC
21. To enable the Appellant to be produced before the doctors at IBHAS, the Court, by its order dated 24th May 2017, suspended the sentence for a period of 4 weeks.	FAC
22. On 17th October 2017, the Court referred to the report dated 9th October 2017 received from IHBAS which stated that the Appellant is fit to stand trial.	FAC
As regards the question regarding his mental status on the date of commission of the offence, it stated as under: “3.	FAC
The Medical Board also opined that mental status at the time of offence cannot be commented upon, on the basis of retrospective history and inadequate medical records pertaining to the time of offence. It is submitted to the Hon‟ble High Court that patient currently does not need further hospitalization and as per the Medical Board opinion, the patient can be managed on outpatient basis.” 23.	FAC
The Court then directed the jail superintendent to take custody of the Appellant from IHBAS within 3 days.	FAC
 Circumstances proved against the Appellant 24.	FAC
In the present case the evidence of PW-1, who was unable to be shaken in his cross-examination, has proved that (i) the death of the Appellant‟s wide was homicidal and (ii) that the Appellant made an extra judicial confession to PW-1 that the Appellant had killed his wife.	ANALYSIS
The Appellant was present next to the dead body in his blood stained clothes.	FAC
The weapons used were also recovered.	ANALYSIS
PW-1 was also able to prove that at the time of commission of the offence only the Appellant and the deceased were together in their house which was bolted from the inside.	ANALYSIS
 25. With the above overwhelming evidence pointing to the guilt of the accused for the offence under Section 302 IPC, the arguments of Mr. Harsh Prabhakar, learned counsel for the Appellant, centred on the defence of insanity under Section 84 IPC.	ARG_PETITIONER
The law relating to the defence under Section 84 IPC 26.	ANALYSIS
The Court would like to preface this discussion with an observation that Section 84 IPC underscores that mens rea is an essential element in a crime.	ANALYSIS
 It contemplates a situation where the person committing the crime may not at the time of such commission of crime, be aware of what he is doing.	ANALYSIS
The rationale behind the defence under Section 84 IPC was explained by the Supreme Court in State of Rajasthan v. Shera Ram @ Vishnu Datta (2012) 1 SCC 602 in the following words: "To commit a criminal offence, mens rea is generally taken to be an essential element of crime.	PRE_RELIED
It is said furiosi nulla voluntus est.	PRE_RELIED
In other words, a person who is suffering from a mental disorder cannot be said to have committed a crime as he does not know what he is doing.	ANALYSIS
       For committing a crime, the intention and act both are taken to be the constituents of the crime, actus non facit reum nisi mens sit rea.	ANALYSIS
Every normal and sane human being is expected to possess some degree of reason to be responsible for his/her conduct and acts unless contrary is proved.	ANALYSIS
But a person of unsound mind or a person suffering from mental disorder cannot be said to possess this basic norm of human behavior." 27.	ANALYSIS
The expression used in Section 84 IPC is 'unsoundness of mind' and not 'insanity'.	ANALYSIS
This appears to be for good reason since the expression 'insanity' apart from being stigmatic does not account for the varying degrees of unsoundness of the mind, all of which may not qualify for the defence under Section 84 IPC.	ANALYSIS
In Hari Singh Gond v. State of Madhya Pradesh (2008) 16 SCC 109 the Supreme Court observed: "Section 84 lays down the legal test of responsibility in cases of alleged unsoundness of mind.	PRE_RELIED
There is no definition of 'unsoundness of mind' in IPC.	PRE_RELIED
The courts have, however, mainly treated this expression as equivalent to insanity.	ANALYSIS
But the term 'insanity' itself has no precise definition.	ANALYSIS
It is a term used to describe varying degrees of mental disorder.	ANALYSIS
So, every person, who is mentally diseased, is not ipso facto exempted from criminal responsibility.	ANALYSIS
A distinction is to be made between legal insanity and medical insanity.	ANALYSIS
A court is concerned with legal insanity, and not with medical insanity." 28.	PRE_RELIED
In Surendra Mishra v. State of Jharkhand (2011) 11 SCC 495, it was pointed out that "every person who is suffering from mental disease is not ipso facto        exempted from criminal liability."	PRE_RELIED
in Shrikant Anandrao Bhosale v. State of Maharashtra (2002) 7 SCC 748, which was a case where the defense under Section 84 IPC on the ground of paranoid schizophrenia was accepted, the Supreme Court explained that "it is the totality of the circumstances seen in the light of the evidence on record"which would prove that the Appellant in that case was suffering from the said condition.	PRE_RELIED
It was added: "The unsoundness of mind before and after the incident is a relevant fact."	PRE_RELIED
Material on record in support of the defence under Section 84 IPC 29.	ANALYSIS
Turning to the material on record.	ANALYSIS
At least one month prior to the occurrence, on 11th May 2011, the deceased gave a written complaint to the police (Ex.PW2/A) in which she categorically stated that the Appellant was mentally unstable and was undergoing treatment at RML Hospital and IHBAS for the last 15 years.	ANALYSIS
She further stated therein that for the last 5 months, the Appellant was receiving treatment at IHBAS at Shahdara; that he was taking injections; that he kept beating people at home and that there existed an imminent threat that he may harm her and any of the family members.	ANALYSIS
She also adverted to the Appellant having attempted to commit suicide by consuming poison and threatening that she and her son would be responsible for it.	ANALYSIS
 30. No doubt, as spoken to by Head Constable Sanjay Sharma (PW-4), who dealt with the matter, the said complaint (Ex.PW-2/A) was closed pursuant to a compromise entered into by the deceased with her accused (Ex.PW2/B) on 13th June 2011.	ANALYSIS
However, the complaint (Ex PW-2/A) is significant inasmuch as it was an acknowledgement by the deceased regarding the chronic mental status of the Appellant in close proximity of the occurrence.	ANALYSIS
 31. That the Appellant was receiving treatment for his mental illness has also been spoken to by his elder brother (PW-1), who was the key prosecution witness.	ANALYSIS
In his cross-examination on behalf of the accused, PW- 1 admitted that, the accused “has been suffering from mental ailment since the last about 12 years.	ANALYSIS
It is correct that the accused had undergone treatment from RML Hospital and IHBAS but I do not know whether he was given electronic shock treatment.	ANALYSIS
It is correct that he was also hospitalized at RML Hospital and IHBAS for mental treatment.” 32.	ANALYSIS
Ms. Kusum Dhalla, the learned APP, referred to the evidence of PW2, the son of the deceased, who in his cross examination denied the suggestion that his father was “having any mental ailment since the last 10-12 years.”	ANALYSIS
He admitted, “My mother once took my father to IHBAS but I do not know for what ailment.” 33.	ANALYSIS
However, the above denial by PW2 cannot really be totally determinative of this issue.	ANALYSIS
Apart from the deceased wife (through her written complaint PW-2/A), the elder brother PW-1, the evidence of the three other siblings of the Appellant, DWs 1 to 3 have also confirmed that he “is a patient of depression since childhood”.	ANALYSIS
 34. Then we have the written statement of the Appellant himself under Section 313 (5) Cr PC which has been extracted hereinbefore where he stated that he was receiving treatment at IHBAS and RML Hospital for many years.	ANALYSIS
 35. It has also come in the evidence of Inspector O.P. Jhakar (PW23) that: “It is correct that I had come to know during my investigation that accused got his mental treatment”.	ANALYSIS
Documents relating to the condition of the Appellant 36.	ANALYSIS
Apart from the above oral evidence, the documents now placed on record before this Court support the plea of the Appellant that he has been receiving treatment for mental illness for several years.	ANALYSIS
The OPD card of RML Hospital signed by Dr. Arvind, Senior Psychiatrist on 11th August 2007 shows that the Appellant had been prescribed medicines for his depression.	ANALYSIS
 37. The medical record of IHBAS beginning 25th October 2010 shows that he was suffering from „chronic depression‟.	ANALYSIS
They also show that he was an in-patient at IHBAS.	ANALYSIS
The noting of 15th November 2010, inter alia, referred to “suicidal ideas” and the Appellant giving suicidal threats.	ANALYSIS
Apart from the above symptoms, the follow-up sheet records, “aggressive and abusive behaviour” and “unmanageable at home”.	ANALYSIS
It also states that his is a “known case    of    bipolar   effective   disorder”.   	ANALYSIS
The   follow-up   sheet      of 15th November 2010 records, inter alia, that “yesterday at 3 pm they informed, went to railway track… was brought back by some relative.”	ANALYSIS
The noting of 24th November 2010 records, “need for hospitalization” and “patient unmanageable at home”. 38.	ANALYSIS
The follow-up sheet of 24th November 2010 notes, inter alia, “ideas of helplessness, worthlessness, death wishes for the past ten years; unemployed for ten years.”	ANALYSIS
It noted that “there were suicidal attempts”.	ANALYSIS
There is a record of IHBAS showing discharge of the patient on 30th November 2010 “against advice”.	ANALYSIS
