                                                                          #12-13	PREAMBLE
$~*      	PREAMBLE
IN THE HIGH COURT OF DELHI AT NEW DELHI	PREAMBLE
12.+      ITA 911/2010	PREAMBLE
COMMISSIONER OFINCOME TAX-IV	PREAMBLE
..... Appellant	PREAMBLE
                                Through:    Mr. N.P. Sahni, Senior Standing                                            Counsel                       versusM/S. DWARKADHISHINVESTMENT (P) LTD.                         ..... Respondent	PREAMBLE
                   Through:                 None                                       AND13.+      ITA 913/2010COMMISSIONER OFINCOME TAX-IV                               ..... Appellant                                Through:	PREAMBLE
Mr. N.P. Sahni, Senior Standing                                            Counsel	PREAMBLE
versusM/	PREAMBLE
S. DWARKADHISH	PREAMBLE
CAPITAL (P) LTD.	PREAMBLE
..... Respondent                                	PREAMBLE
Through:    None                                      Reserved on : 23rd July, 2010	PREAMBLE
%                                     Date of Decision: 2nd August, 2010CORAM:HON'BLE THE CHIEF JUSTICEHON'BLE MR. JUSTICE MANMOHAN1.	PREAMBLE
Whether the Reporters of local papers may be allowed to see the judgment?	PREAMBLE
Yes2.	PREAMBLE
To be referred to the Reporter or not?	PREAMBLE
Yes3.	PREAMBLE
Whether the judgment should be reported in the Digest?	PREAMBLE
Yes                               	PREAMBLE
JUDGMENT	PREAMBLE
MANMOHAN, J CM 12293/2010 in ITA 911/2010 Allowed, subject to all just exceptions.	NONE
CM 12294/2010 in ITA 911/2010 & CM 12296/2010 in ITA 913/2010	NONE
For the reasons stated in the applications, delay in re-filing the appeals is condoned.	NONE
 Applications stand disposed of. ITA 911/2010 & ITA 913/2010 	NONE
1.     The present appeals have been filed under Section 260A of Income Tax Act, 1961 (for brevity “Act, 1961”) challenging the common order dated 29th May, 2009           passed by the Income Tax Appellate Tribunal (in short “ITAT”) in ITA Nos. 4799/Del/04 and 4800/Del/04, for the Assessment Year 2001-2002.	FAC
Since similar issue is involved in both the appeals, we are passing a common order.	FAC
 However, for the purpose of noting the facts, we are referring to ITA No. 911/2010.	FAC
 2.     The relevant facts are that the respondent-assessee was incorporated on 23rd March, 1985.	FAC
It was engaged in the business of financing and trading of shares.	FAC
On 22nd October, 2001, assessee filed a return declaring NIL income.	FAC
The return was initially processed under Section 143(1) of Act, 1961.	FAC
However, subsequently on 21st October, 2002 the case was selected for scrutiny and notice under Section 143(2) of Act, 1961 was issued to the respondent-assessee.	FAC
On scrutiny of accounts, the Assessing Officer (in short “AO”) found an addition of Rs. 71,75,000/- in the share capital of the assessee.	FAC
The AO sought an explanation of the assessee about this addition in the share capital.	FAC
The assessee vide letter dated 13th August, 2003 offered a detailed explanation.	FAC
 3.     However, according to the AO, the assessee failed to explain the addition of share application money from five of its subscribers.	FAC
 Accordingly, AO made an addition of Rs. 35,50,000/- with the aid of Section 68 of Act, 1961 on account of unexplained cash credits appearing in the books of the assessee.	FAC
           However, in appeal, the Commissioner of Income Tax (Appeals) [in short “CIT(A)”] deleted the addition on the ground that the assessee had proved the existence of the shareholders and the genuineness of the transaction.	FAC
            The relevant portion of the order passed by the CIT(A) is reproduced hereinbelow :- “2.12 The authorized representative of the applicant has stated that in the written submission that following documents have been filed to prove the identity of share applicants: 1.      Copies of Certificate of incorporation in respect of the corporate applicants. 2.      Copy of Memorandum and Articles of Association of the corporate applicants. 3.      Copies of acknowledgement of returns filed/income tax orders in the case of the applicants. 4.      Sworn affidavits from the applicants regarding investment in the appellant company. 5.     Copy of Bank accounts of shareholders.	FAC
 6.     Copies of documents obtained from Registrar of Companies.	FAC
 7.     Copies of annual returns filed under the Companies Act.	FAC
 8.     Other relevant documents, wherever available, evidencing the existence and genuineness of the applicants.	FAC
 xxxx           xxxx         xxxx          xxxx 2.21	FAC
  I have considered the submission made by the authorized representative of the appellant and the facts stated in the assessment order.	ANALYSIS
It is observed that the addition made by the assessing officer on account of unexplained share application money cannot be sustained for the following reasons:- (i)      	ANALYSIS
The applicants concerned were identified.	ANALYSIS
 (ii)    The applicants confirmed the payment of money to the appellant for purchase of shares.	ANALYSIS
 (iii)    The transactions in question were by cheques.	ANALYSIS
 (iv) The affidavit of the subscribers were filed indicating their full address, details of deposits made with the appellant and sources where from money was obtained to make the deposits.	ANALYSIS
Copies of bank accounts were furnished.	ANALYSIS
These affidavits were notarized.	ANALYSIS
There was no ground for disbelieving the contents of the affidavits.	ANALYSIS
 (v)    Most of the subscribers were companies incorporated with the Registrar of Companies.	ANALYSIS
Proper inquiries would have revealed the true facts of the case.	ANALYSIS
The appellant cannot be faulted if there was no time to give them an opportunity to rebut the Inspector‟s report made at the back of the appellant.	ANALYSIS
 (vi) The deposits were not of an order that could not be believed.	ANALYSIS
 (vii) The shares have been allotted to the shareholders and letter of allotment have been submitted to the Registrar of Companies.	ANALYSIS
 (viii) The existence of these companies (i.e.               depositors of shares application money) has also been verified from the website of Department of Companies Affairs.	ANALYSIS
The existence of the shareholders, therefore cannot be doubted.	ANALYSIS
 2.22    In the interest of justice, I scrutinized all the available information and I am of the view that in the facts and circumstances, this is not a fit case for not accepting the genuineness of the deposits.	ANALYSIS
The identity of the subscribers and the genuineness of the transactions have been established…..” 4	ANALYSIS
.     The ITAT confirmed the order of the CIT(A) as it was also of the opinion that the assessee had been able to prove the identity of the share applicants and the share application money had been received by way of account payee cheques.	ANALYSIS
In reaching this conclusion, the ITAT had relied upon a Division Bench judgment of this Court in Commissioner of Income Tax Vs. Divine Leasing & Finance Ltd., (2008) 299 ITR 268 (Delhi).	ANALYSIS
5.     	ARG_PETITIONER
Mr. N.P. Sahni, learned standing counsel for the Revenue submitted that the ITAT had erred in law in deleting the addition made by the AO under Section 68 of Act, 1961 as the assessee had failed to discharge the burden in respect of the identity of the share applicants, genuineness of transaction and creditworthiness of share applicants.	ARG_PETITIONER
In support of his submission, he relied upon following judgments :- A)     CIT Vs. Rathi Finlease Ltd., 215 CTR 167 (M.P.) wherein it has been held as under :- “17.       ……S.68 of the Act enjoined the assessee to offer an explanation about the nature and source of the sum found credited in his books and if the explanation was not satisfactory, the amount can be credited and charged to income-tax as income of the assessee.	ARG_PETITIONER
Since the assessee, though tried to explain the genuineness of the credit on the basis of letters of confirmation, it could not be explained as to how the transaction was materialized when the companies were not in existence and the amount was paid by cheque only on the date on which the amount was credited to the account of the company.	ARG_PETITIONER
It was for the assessee to discharge this burden…………” B)      CIT vs. Kundan Investment Ltd., 263 ITR 626 (Cal.)	ARG_PETITIONER
wherein it has been held as under :- “………	ARG_PETITIONER
.Under Section 68, the Income-tax Officer is empowered to lift the veil of corporate identity and find out as to whether the apparent is real.	ARG_PETITIONER
It is the assessee on whom the onus lies.	ARG_PETITIONER
Unless sufficient materials are produced, the onus does not shift on the Revenue.	ARG_PETITIONER
But once the materials are scrutinized and the result of the scrutiny is communicated to the assessee, the onus shifts from the Revenue to the assessee.	ARG_PETITIONER
Then the assessee has to take appropriate steps for proving its case.	ARG_PETITIONER
Unless there are sufficient materials after such communication, produced by the assessee, the Income-tax Officer can do no further.”	ARG_PETITIONER
C)      Commissioner of Income Tax vs. Sophia Finance Limited, 205 ITR 98 (Del) wherein it has been held as under :- “	ARG_PETITIONER
………..As we read Section 68 it appears that whenever a sum is found credited in the books of account of the assessee then, irrespective of the colour or the nature of the sum received which is sought to be given by the assessee, the Income tax Officer has the jurisdiction to enquire from the assessee the nature and source of the said amount.	ARG_PETITIONER
When an explanation in regard thereto is given by the assessee, then it is for the Income tax Officer to be satisfied whether the said explanation is correct or not.	ARG_PETITIONER
It is in this regard that enquiries are usually made in order to find out as to whether, firstly, the persons from whom money is alleged to have been received actually existed or not.	ARG_PETITIONER
Secondly, depending upon the facts of each case, the Income tax Officer may even be justified in trying to ascertain the source of the depositor, assuming he is identified, in order to determine whether that depositor is a mere name lender or not.	ARG_PETITIONER
Be that as it may, it is clear that the Income tax Officer has jurisdiction to make enquiries with regard to the nature and source of a sum credited in the books of account of an assessee and it would be immaterial as to whether the amount so credited is given the colour of a loan or a sum representing the sale proceeds or even receipt of share application money.	ARG_PETITIONER
The use of the words “any sum found credited in the books” in section 68 indicates that the said section is very widely worded and an Income tax officer is not precluded from making an enquiry as to the true nature and source thereof even if the same is credited as receipt of share application money. xxxx          xxxx           xxxx          xxxx …………	ARG_PETITIONER
..On the basis of the language used under Section 68 and the various decisions of different High Courts and the Apex Court, the only conclusion which could be arrived at is: (i)that there is no distinction between the cash credit entry existing in the books of the firm whether it is of a partner or of a third party, (ii) that the burden to prove the identity, capacity and genuineness has to be on the assessee, (iii) if the cash credit is not satisfactorily explained the Income Tax Officer is justified to treat it as Income from “undisclosed sources”, (iv) the firm has to establish that the amount was actually given by the lender, (v) the genuineness and regularity in the maintenance of the account has to be taken into consideration by the taxing authorities, (vi) if the explanation is not supported by any documentary or other evidence, then the deeming fiction credited by Section 68 can be invoked.	ARG_PETITIONER
In these circumstances, we are of the view that simply because the amount is credited in the books of the firm in the partner‟s capital account it cannot be said that it is not the undisclosed income of the firm and in all cases it has to be assessed as an undisclosed income of the partner alone.	ARG_PETITIONER
In these circumstances, we are of the view that the Tribunal was not justified in holding that the cash credits of Rs.11,502 in the account of Shri Kishorilal, one of the partners, could not be assessed in the hands of the firm and in deleting the same.	ARG_PETITIONER
Since the matter was not considered by the Tribunal on the merits, the Tribunal would be free to hear the arguments of both the parties and decide afresh in view of the observations made above.	ARG_PETITIONER
     Accordingly, the reference is answered in favour of the Revenue and against the assessee.	ARG_PETITIONER
 D)      CIT vs. Korlay Trading Co. Ltd., 232 ITR 820 (Cal) wherein it has been held as under :- “……….There should be a genuine transaction.	ARG_PETITIONER
The income tax file number has been given but that is not enough to prove the genuineness of the cash credit.	ARG_PETITIONER
Admittedly, there is no affidavit to this effect, by the creditor, on record.	ARG_PETITIONER
Considering these facts, we find that the finding of the Tribunal in this regard is perverse.	ARG_PETITIONER
     The assessee has failed to prove the genuineness of the cash credit……	ARG_PETITIONER
E)      CIT vs. Shiv Shakti Timber, 229 ITR 505 (MP) wherein it has been held as under :	ARG_PETITIONER
- “……Therefore, from the series of decisions of various High Courts, it is well established that in such a situation where there is a credit entry in the books of account of the assessee and there is no satisfactory explanation, then it will be deemed to be the income of the firm and will be added to the income of the firm and can be accordingly taxed.	ARG_PETITIONER
The view taken by the Tribunal appears to be erroneous of the face of it.”	ARG_PETITIONER
F)      Sumati Dayal vs. CIT, 214 ITR 801 (SC) wherein the Apex Court has held as under :- “	ARG_PETITIONER
It is no doubt true that in all cases in which a receipt is sought to be taxed as Income, the burden lies upon the Department to prove that it is within the taxing provision and if a receipt is in the nature of income, the burden of provind that it is not taxable because it falls within the exemption provided by the Act lies upon the assessee.	ARG_PETITIONER
(See Parimisetti Seetharamamma [1965] 57 ITR 532 at page 536).	ARG_PETITIONER
But, in view of Section 68 of the Act, where any sum is found credited in the books of the assessee for any previous year, the same may be charged to income tax as the income of the assessee of that previous year if the explanation offered by the assessee about the nature and source thereof is, in the opinion of the Assessing Officer, not satisfactory.	ARG_PETITIONER
In such a case there is, prima facie, evidence against the assessee, viz. the receipt of money, and if he fails to rebut it the said evidence being unrebutted, can be used against him by holding that it was a receipt of an income nature.	ARG_PETITIONER
While considering the explanation of the assessee the Department cannot, however, act unreasonably.	ARG_PETITIONER
                 xxxx	ARG_PETITIONER
         xxxx	ARG_PETITIONER
         xxxx	ARG_PETITIONER
          xxxx	ARG_PETITIONER
…………..This raises the question whether the apparent can be considered as the real.	ARG_PETITIONER
As laid down by this Court the apparent must be considered the real until it is shown that there are reasons to believe that the apparent is not the real and that the taxing authorities are entitled to look into the surrounding circumstances to find out the reality and the matter has to be considered by applying the test of human probabilities	ARG_PETITIONER
…….                xxxx           xxxx	ARG_PETITIONER
         xxxx	ARG_PETITIONER
         xxxx	ARG_PETITIONER
This, in our opinion, is a superficial approach to the problem.	ARG_PETITIONER
     The matter has to be considered in the light of human probabilities………….. G	ARG_PETITIONER
)      CIT Vs. Divine Leasing and Finance Ltd. (supra)	ARG_PETITIONER
wherein it has been ruled thus :- “There cannot be two opinions on the aspect that the pernicious practice of conversion of unaccounted money through the masquerade or channel of investment in the share capital of a company must be firmly excoriated by the Revenue.	ARG_PETITIONER
